SpeciesID,SpecCode,Genus,Species,FBname,OccurCells,Kingdom,Phylum,Class,Order,Family,iucn_id,iucn_code,iucn_version
ITS-Mam-180513,68997,Mesoplodon,bowdoini,Andrew's beaked whale,30,Animalia,Chordata,Mammalia,Cetacea,Ziphiidae,13242,DD,2020-2
ITS-Mam-180512,68996,Mesoplodon,carlhubbsi,Hubb's beaked whale,36,Animalia,Chordata,Mammalia,Cetacea,Ziphiidae,13243,DD,2020-2
ITS-Mam-180517,69001,Mesoplodon,densirostris,Blainville's beaked whale,527,Animalia,Chordata,Mammalia,Cetacea,Ziphiidae,13244,DD,2020-2
ITS-Mam-180509,68894,Mesoplodon,europaeus,Gervais' beaked whale,213,Animalia,Chordata,Mammalia,Cetacea,Ziphiidae,13245,DD,2020-2
ITS-Mam-180510,68895,Mesoplodon,ginkgodens,ginkgo-toothed beaked whale,33,Animalia,Chordata,Mammalia,Cetacea,Ziphiidae,13246,DD,2020-2
ITS-Mam-180511,68896,Mesoplodon,grayi,Gray's beaked whale,98,Animalia,Chordata,Mammalia,Cetacea,Ziphiidae,13247,DD,2020-2
ITS-Mam-180507,68892,Mesoplodon,hectori,Hector's beaked whale,40,Animalia,Chordata,Mammalia,Cetacea,Ziphiidae,13248,DD,2020-2
ITS-Mam-180516,69000,Mesoplodon,layardii,strap-toothed whale,142,Animalia,Chordata,Mammalia,Cetacea,Ziphiidae,13249,DD,2020-2
ITS-Mam-180508,68893,Mesoplodon,mirus,True's beaked whale,65,Animalia,Chordata,Mammalia,Cetacea,Ziphiidae,13250,DD,2020-2
ITS-Mam-552772,69827,Mesoplodon,peruvianus,pygmy beaked whale,47,Animalia,Chordata,Mammalia,Cetacea,Ziphiidae,13251,DD,2020-2
ITS-Mam-180514,68998,Mesoplodon,stejnegeri,Stejneger's beaked whale,74,Animalia,Chordata,Mammalia,Cetacea,Ziphiidae,13252,DD,2020-2
ITS-Mam-180500,68888,Tasmacetus,shepherdi,Shepherd's beaked whale,51,Animalia,Chordata,Mammalia,Cetacea,Ziphiidae,21500,DD,2020-2
ITS-Mam-180498,68887,Ziphius,cavirostris,Cuvier's beaked whale,1381,Animalia,Chordata,Mammalia,Cetacea,Ziphiidae,23211,LC,2020-2
ITS-Mam-180679,69577,Dugong,dugon,dugong,362,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,6909,VU,2020-2
ITS-Mam-180681,69578,Hydrodamalis,gigas,Steller's sea cow,19,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,10303,EX,2020-2
ITS-Mam-180684,69579,Trichechus,manatus,West Indian manatee,150,Animalia,Chordata,Mammalia,Sirenia,Trichechidae,22103,VU,2020-2
ITS-Mam-180488,68882,Physeter,macrocephalus,sperm whale,19181,Animalia,Chordata,Mammalia,Cetacea,Physeteridae,41755,VU,2020-2
ITS-Mam-180629,68954,Arctocephalus,pusillus,South African fur seal,184,Animalia,Chordata,Mammalia,Carnivora,Otariidae,2060,LC,2020-2
ITS-Mam-726283,100091,Neovison,macrodon,sea mink,8,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,40784,EX,2020-2
SLB-185785,153753,Neophocaena,asiaeorientalis,NA,5,Animalia,Chordata,Mammalia,Cetacea,Phocoenidae,41754,EN,2020-2
ITS-Mam-180635,68960,Arctocephalus,philippii,Juan Fernandez fur seal,5,Animalia,Chordata,Mammalia,Carnivora,Otariidae,2059,LC,2020-2
ITS-Mam-612599,71025,Mesoplodon,perrini,Perrin's beaked whale,7,Animalia,Chordata,Mammalia,Cetacea,Ziphiidae,41759,DD,2020-2
ITS-Mam-612598,88923,Mesoplodon,traversii,spade-toothed beaked whale,7,Animalia,Chordata,Mammalia,Cetacea,Ziphiidae,41760,DD,2020-2
