ID,CsquareCode,LOICZID,NLimit,Slimit,WLimit,ELimit,CenterLat,CenterLong,CellArea,OceanArea,PWater,ClimZoneCode,FAOAreaM,FAOAreaIn,CountryMain,CountrySecond,CountryThird,CountrySubMain,CountrySubSecond,CountrySubThird,EEZ,LME,LMEBorder,MEOW,OceanBasin,IslandsNo,Area0_20,Area20_40,Area40_60,Area60_80,Area80_100,AreaBelow100,ElevationMin,ElevationMax,ElevationMean,ElevationSD,DepthMin,DepthMax,DepthMean,DepthSD,SSTAnMean,SBTAnMean,SalinityMean,SalinityBMean,PrimProdMean,IceConAnn,OxyMean,OxyBMean,LandDist,Shelf,Slope,Abyssal,TidalRange,Coral,Estuary,Seamount,MPA
228581,7413:352:2,64175,45.5,45,-133,-132.5,45.25,-132.75,2176.15,2176.15,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,31000,-9999,0,0,0,0,0,2176.15,-9999,-9999,-9999,-9999,3016,3771,3649,126.89,12.2388725280762,1.25078701972961,32.5207328796387,34.6713027954102,3.55200003832579,0,272.127014160156,125.085891723633,674,0,2176.155,0,-9999,0,0,0,NA
228582,7413:352:3,63456,46,45.5,-132.5,-132,45.75,-132.25,2156.91,2156.91,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,31000,-9999,0,0,0,0,0,2156.91,-9999,-9999,-9999,-9999,2009,3677,3376,301.57,12.0324783325195,1.35811102390289,32.5050811767578,34.6525192260742,3.66899999789894,0,272.983062744141,109.295845031738,606,0,2156.916,0,-9999,0,0,1,NA
228583,7413:352:4,63455,46,45.5,-133,-132.5,45.75,-132.75,2156.91,2156.91,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,31000,-9999,0,0,0,0,0,2156.91,-9999,-9999,-9999,-9999,3217,3847,3653,113.13,11.9909286499023,1.27787399291992,32.5067863464355,34.6698265075684,3.74300009571016,0,273.596557617188,121.483673095703,634,0,2156.916,0,-9999,0,0,0,NA
228584,7413:353:1,64174,45.5,45,-133.5,-133,45.25,-133.25,2176.15,2176.15,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2176.15,-9999,-9999,-9999,-9999,3668,3897,3787,52.64,12.1969537734985,1.24561297893524,32.5279808044434,34.6707916259766,3.61400004476309,0,272.746978759766,126.091247558594,701,0,2176.155,0,-9999,0,0,0,NA
228585,7413:353:2,64173,45.5,45,-134,-133.5,45.25,-133.75,2176.15,2176.15,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2176.15,-9999,-9999,-9999,-9999,3540,4016,3920,54.24,12.1455202102661,1.22148597240448,32.5331039428711,34.6825561523438,3.67000000551343,0,273.183563232422,129.819641113281,729,0,2103.00693277311,73.1480672268908,-9999,0,0,0,NA
228586,7413:353:3,63454,46,45.5,-133.5,-133,45.75,-133.25,2156.91,2156.91,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2156.91,-9999,-9999,-9999,-9999,3423,3822,3748,46.67,11.9249572753906,1.24629604816437,32.5137786865234,34.6694946289063,3.84399993345141,0,274.407196044922,125.961875915527,663,0,2156.916,0,-9999,0,0,0,NA
228587,7413:353:4,63453,46,45.5,-134,-133.5,45.75,-133.75,2156.91,2156.91,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2156.91,-9999,-9999,-9999,-9999,3509,3965,3841,64.7,11.8535900115967,1.24280905723572,32.5193138122559,34.6823768615723,3.89899988658726,0,274.820770263672,126.887985229492,693,0,2156.916,0,-9999,0,0,0,NA
228588,7413:354:1,64172,45.5,45,-134.5,-134,45.25,-134.25,2176.15,2176.15,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2176.15,-9999,-9999,-9999,-9999,3921,4020,3974,20.62,12.0998554229736,1.21781599521637,32.5353698730469,34.6826667785645,3.75099992379546,0,273.413116455078,130.403274536133,759,0,1736.52772727273,439.627272727273,-9999,0,0,0,NA
228589,7413:354:2,64171,45.5,45,-135,-134.5,45.25,-134.75,2176.15,2176.15,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2176.15,-9999,-9999,-9999,-9999,3324,4105,3984,80.1,12.0601272583008,1.21375596523285,32.5391654968262,34.6826286315918,3.9160000160336503,0,273.885437011719,131.137176513672,788,0,1883.58614596671,292.568854033291,-9999,0,0,0,NA
228590,7413:354:3,63452,46,45.5,-134.5,-134,45.75,-134.25,2156.91,2156.91,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2156.91,-9999,-9999,-9999,-9999,3773,4040,3944,51.99,11.7960624694824,1.24009394645691,32.5230903625488,34.6699638366699,4.0079997852444595,0,275.318267822266,127.742118835449,723,0,1833.78251685393,323.133483146067,-9999,0,0,0,NA
228591,7413:354:4,63451,46,45.5,-135,-134.5,45.75,-134.75,2156.91,2156.91,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2156.91,-9999,-9999,-9999,-9999,2817,4100,3953,143.52,11.7584819793701,1.19511497020721,32.5259971618652,34.6827392578125,4.17600013315678,0,275.963592529297,133.245712280273,754,0,1988.80095713172,168.115042868277,-9999,0,0,1,NA
228592,7413:360:1,62740,46.5,46,-130.5,-130,46.25,-130.25,2137.51,2137.51,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,31000,-9999,0,0,0,0,0,2137.51,-9999,-9999,-9999,-9999,572,2761,2024,533.21,11.9382839202881,1.55303204059601,32.4905662536621,34.6310005187988,4.08799992874265,0,273.577026367188,86.2021865844727,462,0,2137.512,0,-9999,0,0,3,NA
